"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","Amazon Customer","Reviewed in the United States on November 26, 2024","5.0 out of 5 stars","It's a wonderful basic phone. Large screen, easy to operate, works fast, good sound. Way better than more expensive android phones I owned in the past. Very happy with the purchase.",5,NA
"2","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","chiguy312","Reviewed in the United States on December 3, 2024","","Overall, this is a decent basic phone with iPhone-like aesthetics. However, two things stood out as particularly annoying. First, when you swipe up to close a window, a screenshot button appears and often gets accidentally tapped, resulting in a bunch of unwanted screenshots in your album. Second, the picture quality is quite poor, though that's expected at this price point. Ultimately, we decided to return this phone for another option.",4,NA
"3","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","AmazonAholic","Reviewed in the United States on November 18, 2024","Great.","It's affordable, comes pre-installed with a screen protector, dual sim support, 4gb ram with ability to extend to 8gb with visual ram. Front/back facing cameras, face unlock, fingerprint unlock and video recording capability. I bought it to be able to use just one Android app that was not available on iOS. So far it had worked great.Don't expect it to run any 3D games or application smoothly, but for general use, you can't beat the price. It runs on Android 14. No bloatware pre-installed which is another plus.",5,NA
"4","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","Julian Powell","Reviewed in the United States on November 15, 2024","4.0 out of 5 stars","Excellent build quality, super easy to set up and transfer all your apps and files.",5,NA
"5","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","Sasha","Reviewed in the United States on December 4, 2024","","Couldn't get signed into the Google account associated with the network. Crashes constantly. Speed is SOOOO SLOOOWWWWWW.It's not worth the money. Just get something better. Phone comes with case and screen protector, so that's cool, but still not worth any hype at all.",1,NA
"6","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","Sasha","Reviewed in the United States on November 7, 2024","Good basic phone with iPhone looks","i like this wonderful phone is light faster and have a lot of memory",1,NA
"7","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","Lazaro D Leon","Reviewed in the United States on November 18, 2024","5.0 out of 5 stars","For the money this has got to be the best priced phone on the market.I'm very happy with it, and I would buy it again.",4,NA
"8","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","WT Holmes","Reviewed in the United States on December 6, 2024","","I don't why people spend so much for a smart phone. This one does everything you would expect from a smart phone.",5,NA
"9","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","WT Holmes",NA,"Works as intented",NA,5,NA
"10","Cellphone","NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (White)","CJ",NA,"5.0 out of 5 stars",NA,5,NA
