"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Tablet","Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1 vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black","heidiho44","Reviewed in the United States on December 9, 2024","","I got this for my 9 year old niece’s birthday and then had to get one for myself. I use it for streaming Netflix and watching shows. It’s so easy to use, fast, and synced automatically with my Amazon account. I recommend this tablet to anyone looking for one. Great quality, great picture, durable and heavy duty but light. Easy on the eyes and good battery life.",5,NA
"2","Tablet","Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1 vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black","GooseGirl","Reviewed in the United States on October 5, 2024","One for me and one for my niece!","I just checked and found that this 10"" tablet is my 11th Kindle Fire tablet since 2011, so you may say I'm a fan! My husband gets my hand-me-downs, and since had I just bought a new 10"" tablet back in February (ocean), he now gets that one and I get the new one (lilac). So we're both happy. We mostly use our tablets for reading, and for that purpose, they work great. This 10-inch tablet is a nice size, not too heavy for reading or browsing the internet. Overall, it is a nice looking tablet at a good price and does what I need it to do. That being said, there are some limitations:1) I'm not much of a gamer, but some years back, I got a few games for free on a Black Friday sale and enjoyed playing them. I also downloaded another game that is free to play. All three of these games worked great until I got to end-game. I then had problems with the game slowing down and even freezing to the point where I was unable to play them to the finish. I tried adding extra storage, even going so far as buying a newer tablet, but ultimately realized that it was a RAM issue. It's disappointing to me that games would be sold in the Amazon Appstore when the RAM on the tablet wouldn't be able to support the demands of the game. There is an upside: I stopped playing them and now have more time to read, yay!2) Even though my tablet is new, it is becoming more and more apparent that Amazon is no longer supporting some of its own apps. These apps are no longer working (although the sites themselves can still be accessed using the Silk Browser): Goodreads, which Amazon owns, so this is really a mystery, especially because so many people do use their tablets for reading; and both the Shop Amazon and the Photos app now take you to the Silk Browser, where you need to sign in each time to access. In the case of the Photos app, it seems to have been replaced with the new Gallery app, but as of this date, Gallery is extremely limited in function. To use a new photo wallpaper, for example, I had to click on the Photos app, sign in, find and download locally the picture I wanted to use, and only then could the innate wallpaper chooser ""see"" the photo, which was also then available in Gallery. Whew! Prior to this change, the wallpaper could be easily changed in one step, as Amazon Photos was one of the choices, along with the built-in wallpapers, and you could scroll and select a photo as desired.If you're not an end-gamer or don't really need or rely on the built-in Amazon apps, you'll be fine, as this is still a more than decent tablet for the price.",5,NA
"3","Tablet","Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1 vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black","LAK","Reviewed in the United States on November 4, 2024","","I have wanted to get a tablet for a long time, and I'm glad I did. This one works great and so far it does everything I want it to do. The touch screen is responsive and it is easy to connect to my home WiFi. It is easy to charge with the provided wire and wall adapter, and so far the battery is holding a charge for quite a long time. I have been able to use the app store to download apps, I have read books using Kindle and Libby, and I have also used it for basic activities such as games and surfing the internet. The screen is clear and graphics and photos look great. In fact, I'm writing this review with it and using the vocal dictation feature now. I have not used it yet to take pictures. I definitely recommend getting a good Protective case and Screen protector  For this tablet, because it is thin, sleek, and somewhat slippery. It might not be the fanciest one on the market, but I am very happy with it so far so far, especially for the price.",5,NA
"4","Tablet","Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1 vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black","Jennifer Bartlett","Reviewed in the United States on December 5, 2024","Beautiful Tablet for the Price","Pros: Price and value, easy to set up with minimal technical ability, lots of apps you can useCons: Ads from AmazonGreat little tablet. Great for young kids without the investment the ""other"" tablet maker requires. But the Amazon ads? You have to pay extra to get the ads off your own tablet that you bought with your own money. I don't like that. At all. But, for $80 I guess my grands can learn to live with it.",4,NA
"5","Tablet","Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1 vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black","Helen K Jones","Reviewed in the United States on May 25, 2024","","Being a senior newbie in ownership of the first tablet ever, I really like this tablet.  I've had it now a month and being disabled, I have been using it faithfully every day for many many hours per day. Since I've never had a tablet before I can't really compare it to another.But, there are a couple of issues I have been having and don't know if this is normal behavior for a tablet or not.First issue that is really bothered to me is that after watching a lot of videos from streaming most of the day that suddenly the videos start getting ""choppy."" This means that I'll be watching a video and it hits a snag and stalls briefly and then starts up and continues to do this nonstop.  It gets so irritating that I have to stop watching videos completely and turn the tablet off.  No, this isn't a WiFi buffer issue.  I have a similar issue with my flat screen TV because it's not a Smart TV, and it's older.  With the TV, though, I'm lucky if I can watch more than a movie before the subtitles go off sync with the video and have to restart.  I'm suspecting that the video stalling issue might be other than the tablet, but don't know for sure.  But, I'll have watched videos most of a day before this stalling starts to happen.  Since I can't be certain if the issue is with the tablet and not the streaming service, I give the benefit to the tablet.The second issue is with the video selection on the tablet.  I'll have the screen with a bunch of squares of different videos to select from and when I select one on the screen, it responds by opening up something completely different that is on a different part of the screen.  Again, I don't know if this is a tablet issue for sure, but it is a little annoying when I'm trying to decide on what I want to watch next and something else pops up that I didn't select.  Also, when I'm watching a video, the tablet doesn't respond always when I touch it to pause it.  Again, don't know if this is a tablet issue or not.BUT, I love both the video and audio quality of the tablet.  I got the tablet for the purpose of watching my streaming videos and it's been a wonderful experience.  One thing that really pleasantly surprised me was the audio!!  Absolutely fantastic!  It's like having surround sound when watching videos!I got the case to go with the tablet as well and it's really nice.  It took me a bit to adjust to the case in maneuvering it in my bed when laying down, but it's satisfactory.  After all, these things aren't really designed with the disabled in mind.  But, it is a nice quality case cover for the tablet.  I have a few cats, so the case cover protects it very nicely against their tendencies to lay atop the tablet.  It's a good protection for falling off the bed when I've fallen asleep!So, for my first experience with a tablet, this is great.  Makes me wonder what took me so long to buy one!",5,NA
"6","Tablet","Alphawolf Android Tablet 10 inch Tablets, FHD 1920 * 1200 Display, 16GB RAM 128GB ROM Octa Core Processor, Widevine L1, 2.4G/5G WiFi Tablet Android 14","dansan","Reviewed in Japan on October 21, 2024","現時点でのベストバイ！","動画や読書を手軽に楽しむのに最適なサイズ。10インチクラスのタブレットに比べてはるかに軽く、動作も軽快で画面も明るく綺麗なので大変満足しています。　自宅では5GHz帯のwifiを利用していますが、電波の掴みもメインで使用しているスマホより良好。イヤホンジャックの位置が少し気になりますが、基本的にBluetoothイヤホンを使用しますので問題有りません。製品の質感も素晴らしく、価格と性能のバランスが絶妙で長く使えそうな一台です。",5,NA
"7","Tablet","Alphawolf Android Tablet 10 inch Tablets, FHD 1920 * 1200 Display, 16GB RAM 128GB ROM Octa Core Processor, Widevine L1, 2.4G/5G WiFi Tablet Android 14","あめたろう","Reviewed in Japan on December 8, 2024","","",5,NA
"8","Tablet","Alphawolf Android Tablet 10 inch Tablets, FHD 1920 * 1200 Display, 16GB RAM 128GB ROM Octa Core Processor, Widevine L1, 2.4G/5G WiFi Tablet Android 14","あめたろう","Reviewed in Japan on November 18, 2024","満足、想像してたよりクオリティ高。","4年前に購入したファー●ェイmediapad5からの買い替えです。まず安価なのであまり期待していませんでしたが、筐体の質感は高いし、物理ボタンなどの仕上がりもきれいでした。動画視聴、ネット検索はサクサク。このSoC積んでるスマホであれば、この価格で販売しているものは無いし、コスパはかなり高いと思います。気になるポイントは、スピーカーが下部のみなので横向きでは右から聴こえるのみ。ただ、意外と聴き取りやすい音質。あと起動はちょっと遅いかな位です。今のところ自宅でWi-Fi接続ですが、軽いしサブ機として持ち運ぶのも良さそうです。",5,NA
"9","Tablet","Alphawolf Android Tablet 10 inch Tablets, FHD 1920 * 1200 Display, 16GB RAM 128GB ROM Octa Core Processor, Widevine L1, 2.4G/5G WiFi Tablet Android 14","ぐるる","Reviewed in Japan on December 7, 2024","","",4,NA
"10","Tablet","Alphawolf Android Tablet 10 inch Tablets, FHD 1920 * 1200 Display, 16GB RAM 128GB ROM Octa Core Processor, Widevine L1, 2.4G/5G WiFi Tablet Android 14","koma13","Reviewed in Japan on December 6, 2024","サクサク動く","大きさや軽さ画面の綺麗さには満足サブには十分過ぎるほど快適です追記性能には満足しておりましたがSDカードを読み込まないので２台目を購入。SiMスロットを交換すれば読み込むことが出来ましたが1台は全然読み込みもしません",5,NA
